标题,标题链接
洞穴入口布景,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E5%85%A5%E5%8F%A3%E5%B8%83%E6%99%AF
洞穴变身涂鸦,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E5%8F%98%E8%BA%AB%E6%B6%82%E9%B8%A6
洞穴岩石地皮,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E5%B2%A9%E7%9F%B3%E5%9C%B0%E7%9A%AE
洞穴探险者的桥梁,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E6%8E%A2%E9%99%A9%E8%80%85%E7%9A%84%E6%A1%A5%E6%A2%81
洞穴探险者的桥梁套件,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E6%8E%A2%E9%99%A9%E8%80%85%E7%9A%84%E6%A1%A5%E6%A2%81%E5%A5%97%E4%BB%B6
洞穴池塘,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E6%B1%A0%E5%A1%98
洞穴花环,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%8A%B1%E7%8E%AF
洞穴苔藓,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%8B%94%E8%97%93
洞穴蜘蛛,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%9C%98%E8%9B%9B
洞穴蜘蛛/单机版,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%9C%98%E8%9B%9B/%E5%8D%95%E6%9C%BA%E7%89%88
洞穴蝙蝠,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%9D%99%E8%9D%A0
洞穴蝙蝠翅膀,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%9D%99%E8%9D%A0%E7%BF%85%E8%86%80
洞穴蠕虫,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%A0%95%E8%99%AB
洞穴蠕虫袭击,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E8%A0%95%E8%99%AB%E8%A2%AD%E5%87%BB
洞穴香蕉,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E9%A6%99%E8%95%89
洞穴香蕉树,https://dontstarve.huijiwiki.com/wiki/%E6%B4%9E%E7%A9%B4%E9%A6%99%E8%95%89%E6%A0%91
洪水,https://dontstarve.huijiwiki.com/wiki/%E6%B4%AA%E6%B0%B4
洪涝,https://dontstarve.huijiwiki.com/wiki/%E6%B4%AA%E6%B6%9D
活动,https://dontstarve.huijiwiki.com/wiki/%E6%B4%BB%E5%8A%A8
活木,https://dontstarve.huijiwiki.com/wiki/%E6%B4%BB%E6%9C%A8
活木头,https://dontstarve.huijiwiki.com/wiki/%E6%B4%BB%E6%9C%A8%E5%A4%B4
活鳗鱼,https://dontstarve.huijiwiki.com/wiki/%E6%B4%BB%E9%B3%97%E9%B1%BC
派对气球,https://dontstarve.huijiwiki.com/wiki/%E6%B4%BE%E5%AF%B9%E6%B0%94%E7%90%83
流星,https://dontstarve.huijiwiki.com/wiki/%E6%B5%81%E6%98%9F
流星区域,https://dontstarve.huijiwiki.com/wiki/%E6%B5%81%E6%98%9F%E5%8C%BA%E5%9F%9F
流星雨,https://dontstarve.huijiwiki.com/wiki/%E6%B5%81%E6%98%9F%E9%9B%A8
流线型帽子,https://dontstarve.huijiwiki.com/wiki/%E6%B5%81%E7%BA%BF%E5%9E%8B%E5%B8%BD%E5%AD%90
浅海,https://dontstarve.huijiwiki.com/wiki/%E6%B5%85%E6%B5%B7
浆果,https://dontstarve.huijiwiki.com/wiki/%E6%B5%86%E6%9E%9C
浆果丛,https://dontstarve.huijiwiki.com/wiki/%E6%B5%86%E6%9E%9C%E4%B8%9B
浆果丛帽,https://dontstarve.huijiwiki.com/wiki/%E6%B5%86%E6%9E%9C%E4%B8%9B%E5%B8%BD
浆果食物,https://dontstarve.huijiwiki.com/wiki/%E6%B5%86%E6%9E%9C%E9%A3%9F%E7%89%A9
浇水壶,https://dontstarve.huijiwiki.com/wiki/%E6%B5%87%E6%B0%B4%E5%A3%B6
浣猫,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB
浣猫之年,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB%E4%B9%8B%E5%B9%B4
浣猫崽,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB%E5%B4%BD
浣猫神龛,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB%E7%A5%9E%E9%BE%9B
浣猫糖果,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB%E7%B3%96%E6%9E%9C
浣猫雕塑,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB%E9%9B%95%E5%A1%91
浣猫雕塑草图,https://dontstarve.huijiwiki.com/wiki/%E6%B5%A3%E7%8C%AB%E9%9B%95%E5%A1%91%E8%8D%89%E5%9B%BE
浮冰,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E5%86%B0
浮冰地皮,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E5%86%B0%E5%9C%B0%E7%9A%AE
浮夸狮子鱼,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E5%A4%B8%E7%8B%AE%E5%AD%90%E9%B1%BC
浮木,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E6%9C%A8
浮木桨,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E6%9C%A8%E6%A1%A8
浮木桩,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E6%9C%A8%E6%A1%A9
浮标,https://dontstarve.huijiwiki.com/wiki/%E6%B5%AE%E6%A0%87
海,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7
海上修船器,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E4%B8%8A%E4%BF%AE%E8%88%B9%E5%99%A8
海上墙,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E4%B8%8A%E5%A2%99
海上实验室,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E4%B8%8A%E5%AE%9E%E9%AA%8C%E5%AE%A4
海上箱子,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E4%B8%8A%E7%AE%B1%E5%AD%90
海上陷阱,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E4%B8%8A%E9%99%B7%E9%98%B1
海妖钻子,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%A6%96%E9%92%BB%E5%AD%90
海岸,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%B2%B8
海岸公牛海带,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%B2%B8%E5%85%AC%E7%89%9B%E6%B5%B7%E5%B8%A6
海带保险杠,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%B8%A6%E4%BF%9D%E9%99%A9%E6%9D%A0
海带保险杠套装,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%B8%A6%E4%BF%9D%E9%99%A9%E6%9D%A0%E5%A5%97%E8%A3%85
海带叶,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%B8%A6%E5%8F%B6
海带补丁,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E5%B8%A6%E8%A1%A5%E4%B8%81
海星,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%98%9F
海星陷阱,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%98%9F%E9%99%B7%E9%98%B1
海水獭,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B0%B4%E7%8D%AD
海洋,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B4%8B
海洋之椅,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B4%8B%E4%B9%8B%E6%A4%85
海洋拖网捕鱼器,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B4%8B%E6%8B%96%E7%BD%91%E6%8D%95%E9%B1%BC%E5%99%A8
海洋拖网捕鱼器套装,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B4%8B%E6%8B%96%E7%BD%91%E6%8D%95%E9%B1%BC%E5%99%A8%E5%A5%97%E8%A3%85
海洋残骸,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B4%8B%E6%AE%8B%E9%AA%B8
海洋财宝,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B4%8B%E8%B4%A2%E5%AE%9D
海浪,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E6%B5%AA
海盗单桅帆船,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E5%8D%95%E6%A1%85%E5%B8%86%E8%88%B9
海盗地图,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E5%9C%B0%E5%9B%BE
海盗头巾,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E5%A4%B4%E5%B7%BE
海盗帽,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E5%B8%BD
海盗章鱼,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E7%AB%A0%E9%B1%BC
海盗猴,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E7%8C%B4
海盗藏匿处,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E8%97%8F%E5%8C%BF%E5%A4%84
海盗袭击,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E8%A2%AD%E5%87%BB
海盗藏匿点,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E8%97%8F%E5%8C%BF%E7%82%B9
海盗鬼魂,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E9%AC%BC%E9%AD%82
海盗鹦鹉,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E7%9B%97%E9%B9%A6%E9%B9%89
海花环,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%8A%B1%E7%8E%AF
海芽,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%8A%BD
海芽插穗,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%8A%BD%E6%8F%92%E7%A9%97
海草,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%8D%89
海草(消歧义),https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%8D%89(%E6%B6%88%E6%AD%A7%E4%B9%89)
海象,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%B1%A1
海蚀柱,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%9A%80%E6%9F%B1
海象森林群系,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%B1%A1%E6%A3%AE%E6%9E%97%E7%BE%A4%E7%B3%BB
海象牙,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%B1%A1%E7%89%99
海象营地,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%B1%A1%E8%90%A5%E5%9C%B0
海贝甲,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E8%B4%9D%E7%94%B2
海钓竿,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%92%93%E7%AB%BF
海难(消歧义),https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%9A%BE(%E6%B6%88%E6%AD%A7%E4%B9%89)
海难世界,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%9A%BE%E4%B8%96%E7%95%8C
海难,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%9A%BE
海骨,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%AA%A8
海鱼,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%B1%BC
海鲜浓汤,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%B2%9C%E6%B5%93%E6%B1%A4
海鹦鹉,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%B9%A6%E9%B9%89
海黾,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%BB%BE
海黾变身涂鸦,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%BB%BE%E5%8F%98%E8%BA%AB%E6%B6%82%E9%B8%A6
海鲜杂烩,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%B2%9C%E6%9D%82%E7%83%A9
海鲜牛排,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%B2%9C%E7%89%9B%E6%8E%92
海黾巢穴,https://dontstarve.huijiwiki.com/wiki/%E6%B5%B7%E9%BB%BE%E5%B7%A2%E7%A9%B4
消防泵,https://dontstarve.huijiwiki.com/wiki/%E6%B6%88%E9%98%B2%E6%B3%B5
淘气值,https://dontstarve.huijiwiki.com/wiki/%E6%B7%98%E6%B0%94%E5%80%BC
淘金盘,https://dontstarve.huijiwiki.com/wiki/%E6%B7%98%E9%87%91%E7%9B%98
淡水鱼,https://dontstarve.huijiwiki.com/wiki/%E6%B7%A1%E6%B0%B4%E9%B1%BC
深海,https://dontstarve.huijiwiki.com/wiki/%E6%B7%B1%E6%B5%B7
淡水钓竿,https://dontstarve.huijiwiki.com/wiki/%E6%B7%A1%E6%B0%B4%E9%92%93%E7%AB%BF
深色花瓣,https://dontstarve.huijiwiki.com/wiki/%E6%B7%B1%E8%89%B2%E8%8A%B1%E7%93%A3
混合地群系,https://dontstarve.huijiwiki.com/wiki/%E6%B7%B7%E5%90%88%E5%9C%B0%E7%BE%A4%E7%B3%BB
清凉夏装,https://dontstarve.huijiwiki.com/wiki/%E6%B8%85%E5%87%89%E5%A4%8F%E8%A3%85
清洁扫把,https://dontstarve.huijiwiki.com/wiki/%E6%B8%85%E6%B4%81%E6%89%AB%E6%8A%8A
渡渡鸟巢,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A1%E6%B8%A1%E9%B8%9F%E5%B7%A2
温泉,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A9%E6%B3%89
温和季,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A9%E5%92%8C%E5%AD%A3
温度测量仪,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A9%E5%BA%A6%E6%B5%8B%E9%87%8F%E4%BB%AA
温度,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A9%E5%BA%A6
温蒂,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A9%E8%92%82
温蒂/单机版,https://dontstarve.huijiwiki.com/wiki/%E6%B8%A9%E8%92%82/%E5%8D%95%E6%9C%BA%E7%89%88
游动恐惧,https://dontstarve.huijiwiki.com/wiki/%E6%B8%B8%E5%8A%A8%E6%81%90%E6%83%A7
游戏机制,https://dontstarve.huijiwiki.com/wiki/%E6%B8%B8%E6%88%8F%E6%9C%BA%E5%88%B6
游戏机制/单机版,https://dontstarve.huijiwiki.com/wiki/%E6%B8%B8%E6%88%8F%E6%9C%BA%E5%88%B6/%E5%8D%95%E6%9C%BA%E7%89%88
湖泊,https://dontstarve.huijiwiki.com/wiki/%E6%B9%96%E6%B3%8A
溯源表,https://dontstarve.huijiwiki.com/wiki/%E6%BA%AF%E6%BA%90%E8%A1%A8
漂浮平台,https://dontstarve.huijiwiki.com/wiki/%E6%BC%82%E6%B5%AE%E5%B9%B3%E5%8F%B0
溺水,https://dontstarve.huijiwiki.com/wiki/%E6%BA%BA%E6%B0%B4
漂浮火炉,https://dontstarve.huijiwiki.com/wiki/%E6%BC%82%E6%B5%AE%E7%81%AB%E7%82%89
满月,https://dontstarve.huijiwiki.com/wiki/%E6%BB%A1%E6%9C%88
漂浮灯笼,https://dontstarve.huijiwiki.com/wiki/%E6%BC%82%E6%B5%AE%E7%81%AF%E7%AC%BC
漂浮物,https://dontstarve.huijiwiki.com/wiki/%E6%BC%82%E6%B5%AE%E7%89%A9
漏水的茶杯,https://dontstarve.huijiwiki.com/wiki/%E6%BC%8F%E6%B0%B4%E7%9A%84%E8%8C%B6%E6%9D%AF
漏洞,https://dontstarve.huijiwiki.com/wiki/%E6%BC%8F%E6%B4%9E
漏雨的小屋,https://dontstarve.huijiwiki.com/wiki/%E6%BC%8F%E9%9B%A8%E7%9A%84%E5%B0%8F%E5%B1%8B
漩涡传送门,https://dontstarve.huijiwiki.com/wiki/%E6%BC%A9%E6%B6%A1%E4%BC%A0%E9%80%81%E9%97%A8
漩涡种子,https://dontstarve.huijiwiki.com/wiki/%E6%BC%A9%E6%B6%A1%E7%A7%8D%E5%AD%90
潜伏梦魇,https://dontstarve.huijiwiki.com/wiki/%E6%BD%9C%E4%BC%8F%E6%A2%A6%E9%AD%87
潮湿(消歧义),https://dontstarve.huijiwiki.com/wiki/%E6%BD%AE%E6%B9%BF(%E6%B6%88%E6%AD%A7%E4%B9%89)
潮湿,https://dontstarve.huijiwiki.com/wiki/%E6%BD%AE%E6%B9%BF
潮汐,https://dontstarve.huijiwiki.com/wiki/%E6%BD%AE%E6%B1%90
潮湿季,https://dontstarve.huijiwiki.com/wiki/%E6%BD%AE%E6%B9%BF%E5%AD%A3
潮湿度,https://dontstarve.huijiwiki.com/wiki/%E6%BD%AE%E6%B9%BF%E5%BA%A6
潮湿黏糊,https://dontstarve.huijiwiki.com/wiki/%E6%BD%AE%E6%B9%BF%E9%BB%8F%E7%B3%8A
激光眼,https://dontstarve.huijiwiki.com/wiki/%E6%BF%80%E5%85%89%E7%9C%BC
灌木丛帽,https://dontstarve.huijiwiki.com/wiki/%E7%81%8C%E6%9C%A8%E4%B8%9B%E5%B8%BD
火,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB
火坑,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E5%9D%91
火山世界,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E5%B1%B1%E4%B8%96%E7%95%8C
火山喷发,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E5%B1%B1%E5%96%B7%E5%8F%91
火山爆发,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E5%B1%B1%E7%88%86%E5%8F%91
火山的喜悦,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E5%B1%B1%E7%9A%84%E5%96%9C%E6%82%A6
火山祭坛,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E5%B1%B1%E7%A5%AD%E5%9D%9B
火源,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E6%BA%90
火源烹饪,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E6%BA%90%E7%83%B9%E9%A5%AA
火源烹饪/单机版,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E6%BA%90%E7%83%B9%E9%A5%AA/%E5%8D%95%E6%9C%BA%E7%89%88
火炬,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%82%AC
火焰,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%84%B0
火焰伤害,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%84%B0%E4%BC%A4%E5%AE%B3
火把,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E6%8A%8A
火杖,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E6%9D%96
火焰吹箭,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%84%B0%E5%90%B9%E7%AE%AD
火狗,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%8B%97
火焰笔,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%84%B0%E7%AC%94
火焰燃料,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%84%B0%E7%87%83%E6%96%99
火球,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E7%90%83
火腿棒,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E8%85%BF%E6%A3%92
火花储存舱,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E8%8A%B1%E5%82%A8%E5%AD%98%E8%88%B1
火荨麻,https://dontstarve.huijiwiki.com/wiki/%E7%81%AB%E8%8D%A8%E9%BA%BB
